PARCELID,sold_date,sold_price,deed_type,acre_area,has_house,owner_state
16-10197-000,5/28/2020,185000.0,WD(WARRANTY DEED),0.29,True,AR
16-10197-000,9/27/2012,128000.0,WD(WARRANTY DEED),0.29,True,AR
16-10197-000,8/12/2004,0.0,ML(MARRIAGE LICENSE),0.29,True,AR
16-10197-000,8/2/2004,145000.0,WD(WARRANTY DEED),0.29,True,AR
16-10197-000,8/2/2001,125000.0,CWD(CORPORATION WARRANTY DEED),0.29,True,AR
16-10197-000,2/12/2001,4000.0,WD(WARRANTY DEED),0.29,True,AR
16-10197-000,12/8/1995,0.0,WD(WARRANTY DEED),0.29,True,AR
16-10197-000,11/9/1991,0.0,DC(DEATH CERTIFICATE),0.29,True,AR
16-10197-000,9/14/1988,10000.0,WD(WARRANTY DEED),0.29,True,AR
16-10198-000,2/9/2005,0.0,QCD(QUITCLAIM DEED),0.31,True,AR
16-10198-000,4/30/2004,102000.0,WD(WARRANTY DEED),0.31,True,AR
16-10198-000,5/9/1991,83000.0,WD(WARRANTY DEED),0.31,True,AR
16-10198-000,8/20/1990,80000.0,WD(WARRANTY DEED),0.31,True,AR
16-10198-000,1/9/1990,0.0,WD(WARRANTY DEED),0.31,True,AR
16-10198-000,9/14/1988,9300.0,WD(WARRANTY DEED),0.31,True,AR
16-10199-000,4/6/2004,0.0,QCD(QUITCLAIM DEED),0.34,True,CA
16-10199-000,11/1/2000,100000.0,CWD(CORPORATION WARRANTY DEED),0.34,True,CA
16-10199-000,3/15/2000,0.0,WD(WARRANTY DEED),0.34,True,CA
16-10199-000,11/17/1999,2000.0,WD(WARRANTY DEED),0.34,True,CA
16-10199-000,6/3/1988,9000.0,WD(WARRANTY DEED),0.34,True,CA
16-10200-000,9/24/2021,245000.0,WD(WARRANTY DEED),0.34,True,AR
16-10200-000,12/18/2020,0.0,QCD(QUITCLAIM DEED),0.34,True,AR
16-10200-000,10/29/2018,0.0,DC(DEATH CERTIFICATE),0.34,True,AR
16-10200-000,2/4/2013,125000.0,WD(WARRANTY DEED),0.34,True,AR
16-10200-000,8/3/2005,132000.0,WD(WARRANTY DEED),0.34,True,AR
16-10200-000,1/24/2005,0.0,DC(DEATH CERTIFICATE),0.34,True,AR
16-10200-000,4/7/2003,109000.0,WD(WARRANTY DEED),0.34,True,AR
16-10200-000,6/19/2002,3000.0,WD(WARRANTY DEED),0.34,True,AR
16-10200-000,8/4/1988,9000.0,WD(WARRANTY DEED),0.34,True,AR
16-10201-000,7/2/2024,0.0,WD(WARRANTY DEED),0.3,True,AR
16-10201-000,10/3/2019,189000.0,WD(WARRANTY DEED),0.3,True,AR
16-10201-000,10/3/2005,145000.0,WD(WARRANTY DEED),0.3,True,AR
16-10201-000,11/1/2004,125000.0,WD(WARRANTY DEED),0.3,True,AR
16-10201-000,8/26/2003,7000.0,WD(WARRANTY DEED),0.3,True,AR
16-10201-000,8/23/1991,0.0,WD(WARRANTY DEED),0.3,True,AR
16-10201-000,8/1/1991,0.0,AFF(AFFIDAVIT),0.3,True,AR
16-10201-000,11/15/1988,8500.0,WD(WARRANTY DEED),0.3,True,AR
16-10202-000,12/18/2014,108000.0,WD(WARRANTY DEED),0.29,True,AR
16-10202-000,6/5/2014,0.0,TRAG(TRUST AGREEMENT),0.29,True,AR
16-10202-000,6/5/2014,0.0,WD(WARRANTY DEED),0.29,True,AR
16-10202-000,5/13/1996,92000.0,WD(WARRANTY DEED),0.29,True,AR
16-10202-000,4/19/1989,9000.0,WD(WARRANTY DEED),0.29,True,AR
16-10203-000,6/3/2023,0.0,ADHL(AR DEPT OF HEALTH LIST),0.33,True,AR
16-10203-000,3/25/2021,0.0,TRWD(TRUSTEES WARRANTY DEED),0.33,True,AR
16-10203-000,3/25/2021,0.0,CERT(CERTIFICATE),0.33,True,AR
16-10203-000,7/22/2011,329000.0,WD(WARRANTY DEED),0.33,True,AR
16-10203-000,2/18/2010,85000.0,WD(WARRANTY DEED),0.33,True,AR
16-10203-000,2/3/2010,0.0,MTG-D(MORTGAGEE'S DEED),0.33,True,AR
16-10203-000,3/8/2006,13000.0,WD(WARRANTY DEED),0.33,True,AR
16-10203-000,9/14/1988,8000.0,WD(WARRANTY DEED),0.33,True,AR
16-10204-000,6/3/2023,0.0,ADHL(AR DEPT OF HEALTH LIST),0.3,False,AR
16-10204-000,3/25/2021,0.0,TRWD(TRUSTEES WARRANTY DEED),0.3,False,AR
16-10204-000,3/25/2021,0.0,CERT(CERTIFICATE),0.3,False,AR
16-10204-000,9/5/2012,8000.0,WD(WARRANTY DEED),0.3,False,AR
16-10204-000,6/19/2011,0.0,DC(DEATH CERTIFICATE),0.3,False,AR
