PARCELID,sold_date,sold_price,deed_type,acre_area,has_house,owner_state
01-00206-015,7/31/2023,500000.0,WD(WARRANTY DEED),2.29,True,AR
01-00206-015,5/8/2020,500000.0,WD(WARRANTY DEED),2.29,True,AR
01-00206-015,2/24/2020,0.0,QCD(QUITCLAIM DEED),2.29,True,AR
01-00206-015,12/26/2019,0.0,BD(BENEFICIARY DEED),2.29,True,AR
01-00206-015,10/16/2019,0.0,DC(DEATH CERTIFICATE),2.29,True,AR
01-00206-015,8/21/2017,0.0,WD(WARRANTY DEED),2.29,True,AR
01-00206-015,3/11/2015,0.0,DEED(GRANT DEED),2.29,True,AR
01-00206-015,3/2/2015,0.0,QCD(QUITCLAIM DEED),2.29,True,AR
01-00206-015,2/8/2008,0.0,QCD(QUITCLAIM DEED),2.29,True,AR
01-00206-015,5/14/1998,144000.0,WD(WARRANTY DEED),2.29,True,AR
01-00206-015,5/13/1998,0.0,OTHER(OTHER DOCUMENT),2.29,True,AR
01-00206-015,7/1/1997,90000.0,WD(WARRANTY DEED),2.29,True,AR
01-00206-015,12/18/1995,625000.0,WD(WARRANTY DEED),2.29,True,AR
01-00206-015,12/21/1988,15000.0,WD(WARRANTY DEED),2.29,True,AR
01-00206-015,11/21/1988,0.0,OTHER(OTHER DOCUMENT),2.29,True,AR
01-00206-015,9/27/1988,0.0,WD(WARRANTY DEED),2.29,True,AR
01-00206-015,10/20/1986,0.0,WD(WARRANTY DEED),2.29,True,AR
01-00206-015,8/4/1986,250000.0,WD(WARRANTY DEED),2.29,True,AR
01-00206-015,5/17/1986,0.0,COMMD(COMMISSIONERS DEED),2.29,True,AR
01-00206-015,4/29/1985,26000.0,WD(WARRANTY DEED),2.29,True,AR
01-00206-016,7/31/2023,500000.0,WD(WARRANTY DEED),0.33,True,AR
01-00206-016,5/8/2020,500000.0,WD(WARRANTY DEED),0.33,True,AR
01-00206-016,2/24/2020,0.0,QCD(QUITCLAIM DEED),0.33,True,AR
01-00206-016,12/26/2019,0.0,BD(BENEFICIARY DEED),0.33,True,AR
01-00206-016,10/16/2019,0.0,DC(DEATH CERTIFICATE),0.33,True,AR
01-00206-016,8/21/2017,0.0,WD(WARRANTY DEED),0.33,True,AR
01-00206-016,3/11/2015,0.0,DEED(GRANT DEED),0.33,True,AR
01-00206-017,6/12/2007,0.0,WD(WARRANTY DEED),0.94,False,AR
01-00206-017,1/24/2006,0.0,WD(WARRANTY DEED),0.94,False,AR
01-00206-017,2/25/2002,73000.0,WD(WARRANTY DEED),0.94,False,AR
01-00206-017,2/19/2002,57000.0,WD(WARRANTY DEED),0.94,False,AR
01-00206-021,11/7/2007,4700.0,WD(WARRANTY DEED),0.12,False,AR
01-00206-030,7/12/2019,2940000.0,WD(WARRANTY DEED),15.11,False,
01-00206-030,3/26/2015,900000.0,SWD(SPECIAL WARRANTY DEED),15.11,False,
01-00206-030,3/1/2010,0.0,WD(WARRANTY DEED),15.11,False,
01-00206-030,6/11/2004,0.0,CORRQC(CORRECTED QUIT CLAIM DEED),15.11,False,
01-00206-030,5/17/2004,0.0,QCD(QUITCLAIM DEED),15.11,False,
01-00206-030,10/15/2003,0.0,WD(WARRANTY DEED),15.11,False,
01-00206-030,6/23/2003,1300000.0,WD(WARRANTY DEED),15.11,False,
01-00206-030,6/23/2003,0.0,QCD(QUITCLAIM DEED),15.11,False,
01-00206-030,6/23/2003,0.0,QCD(QUITCLAIM DEED),15.11,False,
01-00206-030,6/23/2003,0.0,QCD(QUITCLAIM DEED),15.11,False,
01-00206-030,6/23/2003,0.0,QCD(QUITCLAIM DEED),15.11,False,
01-00206-030,6/23/2003,0.0,QCD(QUITCLAIM DEED),15.11,False,
01-00206-030,3/27/2003,0.0,AFF(AFFIDAVIT),15.11,False,
01-00206-030,9/7/1972,0.0,WD(WARRANTY DEED),15.11,False,
01-00206-030,9/7/1972,0.0,WD(WARRANTY DEED),15.11,False,
01-00206-030,9/7/1972,0.0,WD(WARRANTY DEED),15.11,False,
01-00206-030,9/7/1972,0.0,WD(WARRANTY DEED),15.11,False,
01-10352-000,6/22/2022,1900000.0,TRWD(TRUSTEES WARRANTY DEED),2.0,True,AR
01-10352-000,6/21/2022,0.0,WD(WARRANTY DEED),2.0,True,AR
01-10352-000,6/20/2022,0.0,WD(WARRANTY DEED),2.0,True,AR
01-10352-000,4/19/2004,0.0,WD(WARRANTY DEED),2.0,True,AR
01-10352-000,11/14/2003,171000.0,WD(WARRANTY DEED),2.0,True,AR
01-10353-000,3/17/2021,0.0,MEMO(MEMORANDUM),0.15,True,AR
01-10353-000,5/15/2018,0.0,MEMO(MEMORANDUM),0.15,True,AR
01-10353-000,3/16/2004,0.0,WD(WARRANTY DEED),0.15,True,AR
01-10353-000,3/12/2004,159000.0,WD(WARRANTY DEED),0.15,True,AR
01-10353-000,1/30/2003,0.0,WD(WARRANTY DEED),0.15,True,AR
01-10353-001,3/18/2024,0.0,BD(BENEFICIARY DEED),0.2,True,AR
01-10353-001,7/10/2023,350000.0,TRWD(TRUSTEES WARRANTY DEED),0.2,True,AR
01-10353-001,11/7/2018,0.0,CERT(CERTIFICATE),0.2,True,AR
01-10353-001,9/18/2007,199000.0,WD(WARRANTY DEED),0.2,True,AR
01-10353-001,6/15/2007,0.0,MEMO(MEMORANDUM),0.2,True,AR
01-10353-001,10/19/2004,232000.0,WD(WARRANTY DEED),0.2,True,AR
01-10354-000,7/6/2023,378000.0,WD(WARRANTY DEED),0.12,True,AR
01-10354-000,4/21/2022,0.0,QCD(QUITCLAIM DEED),0.12,True,AR
01-10354-000,7/11/2019,0.0,WD(WARRANTY DEED),0.12,True,AR
01-10354-000,8/28/2015,0.0,OTHER(OTHER DOCUMENT),0.12,True,AR
01-10354-000,6/5/2012,203000.0,WD(WARRANTY DEED),0.12,True,AR
01-10354-000,12/14/2011,0.0,QCD(QUITCLAIM DEED),0.12,True,AR
01-10354-000,11/21/2011,143000.0,WD(WARRANTY DEED),0.12,True,AR
01-10354-000,11/18/2011,0.0,AFF(AFFIDAVIT),0.12,True,AR
01-10354-000,11/17/2011,0.0,AFF(AFFIDAVIT),0.12,True,AR
01-10354-000,11/17/2011,0.0,AFF(AFFIDAVIT),0.12,True,AR
01-10354-000,9/18/2007,0.0,QCD(QUITCLAIM DEED),0.12,True,AR
01-10354-000,7/27/2007,162000.0,WD(WARRANTY DEED),0.12,True,AR
01-10354-000,5/13/2004,153000.0,WD(WARRANTY DEED),0.12,True,AR
01-10354-000,8/28/2003,0.0,WD(WARRANTY DEED),0.12,True,AR
01-10354-001,7/18/2023,377000.0,WD(WARRANTY DEED),0.18,True,AR
01-10354-001,4/12/2004,221000.0,WD(WARRANTY DEED),0.18,True,AR
01-10355-000,2/24/2008,0.0,CERT(CERTIFICATE),0.15,True,AR
01-10355-000,2/24/2008,0.0,CERT(CERTIFICATE),0.15,True,AR
